mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_l1_ratio,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.02657461166381836,0.009868094350136972,0.037595605850219725,0.029026843352491033,0.8063119692077352,False,0.15368389615931421,5000,"{'alpha': 0.8063119692077352, 'fit_intercept': False, 'l1_ratio': 0.15368389615931421, 'max_iter': 5000}",0.25406476123956145,0.23269834638326636,0.20062312584886888,0.17892814398276724,0.2704939998528456,0.22736167546146194,0.03365319973163484,3
0.03354887962341309,0.007688078624711009,0.02744913101196289,0.03415587633826008,0.40994672369996876,True,0.8290806439144098,5000,"{'alpha': 0.40994672369996876, 'fit_intercept': True, 'l1_ratio': 0.8290806439144098, 'max_iter': 5000}",0.01796133224677543,0.07821748636422499,0.04027304333101267,0.04797391572834675,0.08508478638865258,0.05390211281180248,0.024804158061059636,10
0.04191255569458008,0.02120279779244445,0.027019309997558593,0.01707824746491288,0.380938037145958,False,0.15414098066866477,5000,"{'alpha': 0.380938037145958, 'fit_intercept': False, 'l1_ratio': 0.15414098066866477, 'max_iter': 5000}",0.25683797206983805,0.2556825682788414,0.20012296475533853,0.18968968923203489,0.2905416352076188,0.23857496590873434,0.03793433494704245,1
0.013617134094238282,0.0058272760919685545,0.013666009902954102,0.008391485119284432,0.3192045323463478,False,0.5329345499525486,1000,"{'alpha': 0.3192045323463478, 'fit_intercept': False, 'l1_ratio': 0.5329345499525486, 'max_iter': 1000}",0.25548443812547406,0.2532754963327002,0.1939968952060661,0.1851703941568006,0.28037766512395224,0.23366097778899864,0.03733099993958808,2
0.02171778678894043,0.010948600939601249,0.01272115707397461,0.005408589012112379,0.5753831627287804,True,0.19191755846616743,1000,"{'alpha': 0.5753831627287804, 'fit_intercept': True, 'l1_ratio': 0.19191755846616743, 'max_iter': 1000}",0.16710232884929788,0.22998429046023527,0.17086769893086817,0.1587457322602488,0.2382430977259108,0.1929886296453122,0.033907692243176024,7
0.014131402969360352,0.00875712082309836,0.012877702713012695,0.00714519622461359,0.7778105952492651,True,0.3459630576055863,10000,"{'alpha': 0.7778105952492651, 'fit_intercept': True, 'l1_ratio': 0.3459630576055863, 'max_iter': 10000}",0.06461238750345355,0.125683276488891,0.08008858154359932,0.08126490228025407,0.13304363554028686,0.09693855667129696,0.027219118113450635,8
0.011246061325073243,0.00808501708054275,0.01069178581237793,0.0038900428222738174,0.5555652522624782,True,0.17970691650158865,5000,"{'alpha': 0.5555652522624782, 'fit_intercept': True, 'l1_ratio': 0.17970691650158865, 'max_iter': 5000}",0.1740709911120446,0.23600266917710377,0.1770099888805584,0.16371967996133918,0.24549097860605462,0.19925886154742012,0.03429282906578111,6
0.010060358047485351,0.0035041217313088982,0.008561849594116211,0.0047713395633218565,0.6891645720429372,False,0.5688624770981808,10000,"{'alpha': 0.6891645720429372, 'fit_intercept': False, 'l1_ratio': 0.5688624770981808, 'max_iter': 10000}",0.25266077272459375,0.23925931119362553,0.19862460184484543,0.1764506282367595,0.25831221330399845,0.22506150546076453,0.032033838578881306,4
0.013301706314086914,0.00852536107223791,0.015505027770996094,0.009393832384067685,0.9708893091984225,True,0.3173522920874884,1000,"{'alpha': 0.9708893091984225, 'fit_intercept': True, 'l1_ratio': 0.3173522920874884, 'max_iter': 1000}",0.03609358184073508,0.09464680914767687,0.05377039397623107,0.05855074833571017,0.10290843751175405,0.06919399416242145,0.025421695070651392,9
0.012608528137207031,0.005905640020347112,0.01421656608581543,0.006674183252380554,0.9788567741061189,False,0.22137521958887219,1000,"{'alpha': 0.9788567741061189, 'fit_intercept': False, 'l1_ratio': 0.22137521958887219, 'max_iter': 1000}",0.2514443971969593,0.22015983716558052,0.19877009853486105,0.17015334339329058,0.2555732901171549,0.2192201932815693,0.03220742781177995,5
